V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,A,A1,A2,A3,A4,A5,A6,A7,A7.1,A8,A0,A1.0,A2.0,A3.0,A4.0,A5.0,A6.0,A7.0,A8.0,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A0.0,A1.1,A2.1,A3.1,A4.1,A5.1,A6.1,A7.2,A8.1,A9.0,A10.0,A11.0,A12.0,A13.0,A14.0,A15.0,A0.1,A1.2,A2.2,A3.2,A4.2,A5.2,A6.2,A7.3,A8.2,A9.1,A10.1,LocationLatitude,LocationLongitude,LocationAccuracy
R_exhnwVqkbiMLPSt,Default Response Set,Anonymous, , ,129.118.42.110,0,10/19/2012,10/19/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_e38Q4xOEHtYjqXb,Default Response Set,Anonymous, , ,117.136.6.234,0,10/22/2012,10/27/2012,1,1,2,32,2,12,2,1,2,3,NA,1,3,3,1,1,1,1,1,2,2,3,3,1,1,1,1,2,3,2,3,1,1,5,4,3,3,1,1,2,1,2,2,2,2,2,3,3,2,2,2,1,1,1,1,2,3,2,3,4,3,3,3,3,3, , ,-1
R_8tO5fJr7QhmnGKN,Default Response Set,Anonymous, , ,124.234.196.162,0,10/27/2012,10/27/2012,1,1,1,33,3,6,2,2,2,1,NA,1,2,3,1,1,1,1,1,2,2,3,3,1,1,1,1,2,2,2,3,1,1,3,3,5,3,1,1,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,2,3,2,3,3,3,3,3,3,3, , ,-1
R_9TWEEdKdcDraHdP,Default Response Set,Anonymous, , ,49.140.129.44,0,10/27/2012,10/27/2012,1,1,2,36,3,19,2,2,2,1,100,1,2,2,1,1,1,1,1,2,2,2,3,1,1,1,2,2,2,2,1,1,3,5,3,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,3,3,3,2,3,3,3,3, , ,-1
R_5hVJuPVZQerKqvr,Default Response Set,Anonymous, , ,129.118.238.9,0,10/27/2012,10/27/2012,1,1,1,28,3,14,1,1,2,2,89,1,2,1,2,2,2,1,1,2,5,4,5,1,1,1,2,1,3,1,1,3,3,4,3,3,3,1,1,3,3,3,3,3,2,2,2,3,3,3,3,1,1,1,1,3,2,3,3,3,2,3,3,3,3, , ,-1
R_5uz0hFLxJdlMUC1,Default Response Set,Anonymous, , ,114.228.155.82,0,10/27/2012,10/27/2012,1,1,1,36,3,12,2,2,2,1,590-637,1,3,2,1,1,1,1,1,1,3,1,2,6,1,1,2,2,2,2,2,1,1,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,3,2,2,3,3,3,3, , ,-1
R_3PBH1aIWGsXngEt,Default Response Set,Anonymous, , ,59.72.126.131,0,10/28/2012,10/28/2012,1,1,2,44,3,1 yr,1,2,2,1,i have no toefl scores,1,3,3,2,2,2,1,1,1,3,3,3,6,1,1,2,2,3,2,1,2,2,3,4,3,3,7,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,2,3,3,3,2,3,3,3,3, , ,-1
R_8uJLmLH6J9OMFrn,Default Response Set,Anonymous, , ,119.48.201.52,0,10/28/2012,10/28/2012,1,1,2,38,3,12,2,2,2,1,i didn't take a toefl exam,1,2,1,2,2,2,1,1,1,2,3,3,1,1,1,2,2,2,2,2,2,1,3,4,2,2,1,1,2,2,2,1,2,3,2,2,3,2,2,3,1,1,1,1,3,2,2,2,3,3,3,4,2,2, , ,-1
R_cTn2gISIcIuMls9,Default Response Set,Anonymous, , ,98.252.20.46,0,10/28/2012,10/28/2012,1,1,2,31,2,3 months,2,2,2,3,0,1,2,2,1,1,1,1,1,2,3,3,4,1,1,1,1,1,2,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,3,3,2,2,2, , ,-1
R_9HUoSQpz4V8J6a9,Default Response Set,Anonymous, , ,198.252.15.191,0,10/28/2012,10/28/2012,1,1,2,36,3,6,2,2,2,1,100,1,5,2,1,1,1,1,1,2,3,2,3,1,1,1,2,2,2,2,2,1,2,3,4,3,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,3,1,3,2,2,3,1,2, , ,-1
R_cHNDfQnAZMjEz1b,Default Response Set,Anonymous, , ,98.252.20.46,0,10/28/2012,10/28/2012,1,1,2,23,2,2,1,2,2,1,100,1,2,3,1,1,1,1,1,3,3,3,5,6,1,1,2,2,4,2,2,3,3,3,4,3,3,1,1,3,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,4,2,4,3,4,2,3,3,3,3, , ,-1
R_0v3c7xWTAJBj6KN,Default Response Set,Anonymous, , ,67.162.248.28,0,10/28/2012,10/28/2012,1,1,2,34,2,0.5,2,2,2,3,0,1,2,1,1,1,1,1,1,1,3,3,3,6,1,1,2,2,2,2,2,1,1,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,2,3,3,4,3,3,3,2,3, , ,-1
R_8ccaME6opda3PW5,Default Response Set,Anonymous, , ,59.72.65.249,0,10/28/2012,10/28/2012,1,1,2,36,3,12,2,3,2,1,85,1,3,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,3,1,1,1,5,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,3,2,3,3,4,4, , ,-1
R_0UhJcboGtGZEhtH,Default Response Set,Anonymous, , ,59.72.66.230,0,10/28/2012,10/28/2012,1,1,2,35,3,12 months,2,2,2,1,65-78,1,2,2,1,1,1,1,1,1,2,2,3,1,1,1,2,1,3,3,2,1,2,5,3,4,5,1,1,1,4,1,2,1,1,1,3,1,3,2,1,1, ,1,1,4,4,4,4,3,1,3,3,3,3, , ,-1
R_b3m4vnLbnABBdg9,Default Response Set,Anonymous, , ,58.194.224.104,0,10/28/2012,10/28/2012,1,1,2,40,3,12,2,2,2,1,I didn't  take TOEFT test.,1,2,2,1,1,1,1,1,2,3,2,3,1,1,1,2,2,2,2,2,3,3,3,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,2,3,2,3, , ,-1
R_9FYhJ6N90AxGkRv,Default Response Set,Anonymous, , ,60.175.65.55,0,10/28/2012,10/28/2012,1,1,1,33,3,12,1,2,2,2,102,1,2,2,1,1,1,1,1,2,3,3,3,1,1,1,2,2,3,2,1,1,1,3,3,3,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,4,4,4, , ,-1
R_eJvncuJZIREJ589,Default Response Set,Anonymous, , ,76.111.147.106,0,10/28/2012,10/28/2012,1,1,2,20,1,2,1,2,2,3,100,1,3,2,1,1,1,1,2,4,4,3,3,6,1,1,3,4,3,2,2,1,3,3,3,4,4,10,1,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,1,3,2,2,2,3,2,3,3,2,3, , ,-1
R_ehfvEts7IvhXPyB,Default Response Set,Anonymous, , ,24.107.3.218,0,10/29/2012,10/29/2012,1,1,2,23,2,3,1,2,2,1,105,1,3,4,1,1,1,1,1,2,3,3,4,1,1,1,3,3,3,2,2,2,2,3,3,3,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,3,3,3,3,2,3, , ,-1
R_6ondFNVXHMGoCCp,Default Response Set,Anonymous, , ,216.164.56.236,0,10/29/2012,10/29/2012,1,1,1,23,2,2,1,2,2,1,103,1,2,3,1,1,1,1,1,2,3,4,4,1,1,1,2,3,2,2,2,3,4,2,3,3,3,10,1,3,3,3,3,2,3,3,1,2,3,3,2,1,1,1,1,4,1,2,3,4,4,3,4,2,1, , ,-1
R_eQJQLUclBPaoSAR,Default Response Set,Anonymous, , ,68.34.16.24,0,10/29/2012,10/29/2012,1,1,1,23,2,48,1,1,2,1,85,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,2,2,2,2,2,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,3,4,2,2,2,3,3,3, , ,-1
R_b9NWjNBIJ1wPEVf,Default Response Set,Anonymous, , ,98.218.208.238,0,10/29/2012,10/29/2012,1,1,2,22,2,2,1,2,2,1,109,1,3,3,2,2,2,1,1,2,4,4,4,1,1,1,2,3,2,3,2,1,3,3,3,3,2,1,1,2,2,1,2,2,2,2,3,2,2,3,2,1,1,1,1,2,2,1,1,1,3,2,3,1,4, , ,-1
R_a9uXmis5LcXi3FH,Default Response Set,Anonymous, , ,69.166.112.45,0,10/29/2012,10/29/2012,1,1,1,22,1,0,1,2,2,2,65,1,2,2,1,1,1,1,1,1,1,3,4,6,1,1,1,2,3,4,1,1,1,3,3,2,4,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,4,2,1, , ,-1
R_e8n2G1mDwrxLqbX,Default Response Set,Anonymous, , ,173.78.125.145,0,10/29/2012,10/29/2012,1,1,2,23,2,3,1,2,2,1,89,1,2,4,2,2,2,1,1,2,3,3,3,1,1,1,2,3,3,2,2,1,2,4,3,5,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,4,4,3,3,2,3,3,3, , ,-1
R_ac6xneJqkH9SzVH,Default Response Set,Anonymous, , ,69.143.88.57,0,10/29/2012,10/29/2012,1,1,2,23,2,14,1,2,2,1,79-95,1,2,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,2,2,1,3,4,2,3,2,1,1,2,3,3,2,1,1,2,3,2,2,2,2,1,1,1,1,4,2,3,2,3,3,2,3,3,3, , ,-1
R_0kdk0cjMJ4jBOip,Default Response Set,Anonymous, , ,173.64.82.58,0,10/29/2012,10/29/2012,1,1,1,34,2,130,1,1,2,1,n/a,1,3,3,1,1,1,1,1,3,2,3,4,1,1,1,1,3,2,3,1,3,2,2,4,5,5,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,4,4,4,2,3,3,4,4, , ,-1
R_ePYZAmQiFVii5y5,Default Response Set,Anonymous, , ,130.85.228.202,0,10/29/2012,10/29/2012,1,1,1,23,1,36 months,1,2,2,2,79-95,1,2,2,1,1,1,1,1,2,2,1,4,1,1,1,2,2,2,3,2,1,1,5,4,5,4,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,3,2,3,3,4,3,2,3,3,3, , ,-1
R_e9yCwM3vua6gLjf,Default Response Set,Anonymous, , ,98.233.0.73,0,10/29/2012,10/29/2012,1,1,1,30,1,120,1,1,2,1,none,1,2,2,2,2,2,1,1,2,3,3,3,1,1,4,3,3,2,2,2,1,4,5,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,3,4,3, , ,-1
R_eysO57IWGMJBKcZ,Default Response Set,Anonymous, , ,129.118.42.110,0,10/22/2012,10/22/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_5drLmoHJi3K7T7L,Default Response Set,Anonymous, , ,129.118.14.94,0,10/22/2012,10/22/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_3C6rxOMkoOfa1Q9,Default Response Set,Anonymous, , ,129.118.212.9,0,10/22/2012,10/22/2012,0,1,1,31,3,26,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_a8Kc2MKVCoOdLPT,Default Response Set,Anonymous, , ,75.111.196.254,0,10/22/2012,10/22/2012,0,1,2,22,1,2,1,2,2,2,79,1,3,3,1,1,1,1,1,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_1GM3SAiGWDh7GAJ,Default Response Set,Anonymous, , ,59.72.29.100,0,10/30/2012,10/30/2012,1,1,2,34,3,12,2,2,2,3,550,1,2,3,2,2,2,1,1,3,3,3,3,6,1,1,3,3,3,3,2,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,3,2,3,3,3,3,3,3,3,3, , ,-1
R_4HPnpj4Xdm38VKd,Default Response Set,Anonymous, , ,175.17.173.181,0,10/30/2012,10/30/2012,1,1,2,35,3,2 yrs,2,2,2,3,无,1,2,2,2,2,2,1,1,1,1,3,3,6,2,1,1,1,2,2,1,1,1,3,1,3,1,1,1,1,3,1,2,1,1,1,3,1,2,1,1,1,1,1,1,3,2,2,3,3,3,2,3,3,2, , ,-1
R_a59ybydLLW1b7Ol,Default Response Set,Anonymous, , ,110.195.50.66,0,10/23/2012,10/23/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_89fXvyCuKsZ5JI1,Default Response Set,Anonymous, , ,222.175.103.16,0,10/23/2012,10/23/2012,0,1,1,29,3,0,1,2,2,3,70,1,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_7X6XFjgtpx3PFhb,Default Response Set,Anonymous, , ,222.175.103.122,0,10/23/2012,10/23/2012,0,1,2,26,2,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_9v3AOjS7W1zg1CZ,Default Response Set,Anonymous, , ,59.72.73.73,0,10/30/2012,10/30/2012,1,1,1,37,3,12,2,1,2,3,79-95,1,3,3,1,1,1,1,1,2,3,3,3,1,1,1,3,3,3,3,4,2,3,2,2,5,3,7,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,4,3,3,3,3,3,3,3,3,4, , ,-1
R_3lU7xFg1RF8bITX,Default Response Set,Anonymous, , ,159.226.240.6,0,10/24/2012,10/24/2012,0,1,2,24,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_8rg5nIdhBmtfRwp,Default Response Set,Anonymous, , ,113.105.128.252,0,10/27/2012,10/31/2012,1,1,1,37,3,18,2,2,2,1,500,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,2,3,2,2,1,1,1,5,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,2,2,4,3,3, , ,-1
R_8CAHgC8oVilOqAB,Default Response Set,Anonymous, , ,124.16.167.217,0,10/24/2012,10/24/2012,0,1,2,25,3,1 month,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_41vorCsPe20paIZ,Default Response Set,Anonymous, , ,161.6.28.167,0,10/31/2012,10/31/2012,1,1,2,48,3,291,2,1,2, ,96-110,1,2,2,1,1,1,2,1,2,2,2,3,1,1,1,2,4,2,3,3,2,3,4,3,4,3,1,1,3,2,2,3,2,2,2,3,2,2,2,2,1,1,1,1,1,3,4,3,2,2,2,3,3,3, , ,-1
R_3qFIX9xWqaaIm0J,Default Response Set,Anonymous, , ,129.118.227.27,0,10/24/2012,10/24/2012,0,1,2,27,3,26,2,2,2,3,96,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_egkr7s9qQ0cLiD3,Default Response Set,Anonymous, , ,75.111.191.136,0,10/23/2012,10/24/2012,0,1,1,34,2,Whole Life,1,1,1, ,I have no clue what that is,1,5,4,5,5,5,3,4,4,4,3,3,5,5,5,3,4,5,5,4,5,4,2,4,1,5,5,1,2,2,2,2,1,1,1,2,1, , , , , , , , , , , , , , , , , , , ,-1
R_07KK9zxvl65T6uh,Default Response Set,Anonymous, , ,12.180.249.186,0,10/31/2012,10/31/2012,1,1,2,34,2,78,1,1,2,1,79-95,1,3,3,1,1,1,1,1,3,3,3,4,1,1,1,2,3,4,3,3,2,2,3,4,3,3,1,1,3,3,3,2,2,2,3,2,2,2,2,1,1,1,1,1,4,2,2,4,3,3,2,2,3,3, , ,-1
R_54rt8uymnG6Rh2d,Default Response Set,Anonymous, , ,129.118.243.7,0,11/1/2012,11/1/2012,1,1,1,30,3,40,1,1,1, ,97,1,3,3,2,2,2,1,1,5,3,1,3,1,1,1,1,2,2,2,2,1,2,3,2,3,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,3,1,3,3,3,3,3,3,3,3, , ,-1
R_bBDDPJOGGTKAt4V,Default Response Set,Anonymous, , ,220.249.99.183,0,11/1/2012,11/1/2012,1,1,2,36,3,12 months,2,1,2,1,600,1,2,1,1,1,1,1,1,2,3,2,3,6,1,1,2,2,2,2,3,1,1,2,3,3,2,1,1,3,1,1,2,2,1,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,3,3,2,2,4, , ,-1
R_7Qlqb2ZwT9OgpCJ,Default Response Set,Anonymous, , ,60.216.222.90,0,10/25/2012,10/25/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_6DJnxAYGK7DppKR,Default Response Set,Anonymous, , ,69.175.170.221,0,11/1/2012,11/1/2012,1,1,2,26,3,50,1,3,2,3,98,1,3,3,1,1,1,1,1,2,2,3,3,1,1,1,3,3,2,2,1,1,2,3,3,3,3,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3, , ,-1
R_7Vu8VZq3JLSujL7,Default Response Set,Anonymous, , ,161.6.165.14,0,11/1/2012,11/1/2012,1,1,2,27,1,3 months,1,2,2,1,no,1,2,2,1,1,1,1,1,1,3,2,4,6,1,1,1,1,2,2,2,3,1,4,4,3,3,1,1,1,1,1,1,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,3,3,2,2,2,3,3, , ,-1
R_cUgrkC0mM72rTrT,Default Response Set,Anonymous, , ,59.72.75.207,0,11/1/2012,11/1/2012,1,1,1,38,3,12,2,3,2,3,640,1,3,2,1,1,1,1,1,1,1,3,3,6,1,1,1,1,3,3,4,1,4,1,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,2,3,4,3,3,3,3,3,3, , ,-1
R_bC71ECU19abFiMR,Default Response Set,Anonymous, , ,119.51.52.248,0,10/27/2012,10/27/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_8CSglc2ZUpZD9g9,Default Response Set,Anonymous, , ,76.111.147.106,0,10/28/2012,10/28/2012,0,1,2,20,1,2months,1,2,2,1,0,1,2,2,1,1,1,1,1,2,2,3,4,6,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_eCGLyfcJ4Z8piK1,Default Response Set,Anonymous, , ,98.192.209.156,0,10/28/2012,10/28/2012,0,1,1,22,1,3,1,2,2,1,100,1,1,2,1,1,1,1,1,2,2,3,3,1,1,1,2,3,2,2,2,2,2,2,2,5,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , ,-1
R_3qvxhHLaqjjTUeF,Default Response Set,Anonymous, , ,173.240.137.9,0,11/4/2012,11/4/2012,1,1,2,31,2,4 months,2,1,2,1,no,1,2,2,1,1,1,1,1,4,3,3,3,6,1,1,2,2,2,2,2,2,1,3,3,3,2,1,1,2,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,3,2,1,3,3,1,4,3,4,4, , ,-1
R_2hkCKB8diJkFhPf,Default Response Set,Anonymous, , ,68.49.172.100,0,10/29/2012,10/29/2012,0,1,1,18,2,60,2,2,2,3,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_cN0JOFPOaIgCzjf,Default Response Set,Anonymous, , ,69.251.28.118,0,10/29/2012,10/29/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_ctGv77b00vH8xVz,Default Response Set,Anonymous, , ,75.111.141.224,0,11/5/2012,11/5/2012,1,1,1,23,1, 5 yrs = 60 months,1,1,2,1,513-547,1,3,3,1,1,1,1,1,2,2,2,3,1,1,1,2,2,2,3,1,2,1,4,3,4,3,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,3,3,3,3,3,3,2,2,3,3, , ,-1
R_5at9C55kexLzBpH,Default Response Set,Anonymous, , ,129.118.229.203,0,11/5/2012,11/5/2012,1,1,2,26,2,14,2,2,2,1,79,1,3,3,1,2,1,1,2,2,3,3,3,1,1,1,3,3,3,3,2,2,2,3,3,3,2,1,1,2,3,2,3,2,3,2,4,2,1,2,2,1,1,1,1,3,3,2,2,3,1,3,3,3,3, , ,-1
R_5C1amLKWQPOe8rb,Default Response Set,Anonymous, , ,129.118.212.163,0,11/5/2012,11/5/2012,1,1,1,24,3,39,1,2,2,1,79-95,1,3,2,1,1,1,1,1,1,2,2,4,1,1,1,2,2,2,2,1,1,2,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,3,2,3,2,3,2,3,3,3, , ,-1
R_blWxOdc3gqvUmlD,Default Response Set,Anonymous, , ,129.118.86.83,0,11/5/2012,11/5/2012,1,1,1,27,3,50,1,2,2,1,96,1,3,3,2,2,2,1,1,2,3,3,4,1,1,1,2,2,3,3,2,2,3,3,5,4,3,5,1,2,2,2,3,2,2,1,1,2,3,1,2,1,1,1,1,3,2,3,3,3,3,3,3,3,3, , ,-1
R_6xODKr94BU3Q4tv,Default Response Set,Anonymous, , ,115.168.38.27,0,10/29/2012,10/29/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_8qrxhpyQbfU6NkV,Default Response Set,Anonymous, , ,161.6.3.129,0,10/30/2012,10/30/2012,0,1,2,26,3,4months,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_5yzgFhtHtC9lSdv,Default Response Set,Anonymous, , ,172.0.26.17,0,10/30/2012,10/30/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_bDCU3MlQjxrq8Xr,Default Response Set,Anonymous, , ,74.141.112.249,0,10/31/2012,10/31/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_3Ug1dBkrahhPPVj,Default Response Set,Anonymous, , ,170.185.144.19,0,10/31/2012,10/31/2012,0,1,2,25,2,3 months,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_0OfEAktgmfJJwLr,Default Response Set,Anonymous, , ,161.6.48.169,0,10/31/2012,10/31/2012,0,1,1,34,3,60,1,5,2,1,590-637, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_82lMIoAFSbE1oeF,Default Response Set,Anonymous, , ,161.6.10.139,0,10/31/2012,10/31/2012,0,1,1,25,2,14,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_3lVTrboGBiLTOND,Default Response Set,Anonymous, , ,58.244.29.19,0,11/4/2012,11/4/2012,0,1,1,21,1,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_0PANdNDVXK8RH01,Default Response Set,Anonymous, , ,58.244.29.19,0,11/4/2012,11/4/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_e9Rll4MCDBqaw0l,Default Response Set,Anonymous, , ,129.118.31.147,0,11/5/2012,11/5/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_3gvRFkA0nZ3QGrz,Default Response Set,Anonymous, , ,218.26.158.43,0,11/5/2012,11/5/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_barNLqlnbckaJQ9,Default Response Set,Anonymous, , ,129.118.38.103,0,11/5/2012,11/5/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_0NakGWpc3qBMI05,Default Response Set,Anonymous, , ,161.6.151.57,0,11/14/2012,11/14/2012,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
R_eRQ4SdO7IWakorb,Default Response Set,Anonymous, , ,98.219.234.230,0,3/28/2014,3/28/2014,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1
